HEADER;;PRECINCT;REGISTERED;BALLOTS;TURNOUT;;TOTAL_S;DEM_S;REP_S;;;;;;;;;TOTAL_I;BIDEN;TRUMP;;;;;;;;;REP_PERCENT;T_MINUS_R;;IND_PERCENT;;;
COMMENT;;;;;;;;Nur straight;;;;;;;;;;Nur individualle;;;Achtung, das ist die Summe, mit straight votes!;;;;;;;;;;Min;16,1;;;
COMMENT;;;;;;;;;;Straight Party;;;;;;;;;;;Individual;;;;;;;;;;Max;55,7;;;
COMMENT;;TOTALS: 252 of 252;Registered voters;Ballots Cast;Turnout;;Total;DEM %;REP %;Democratic Party;Republican Party;Libertarian Party;US Taxpayers Party;Working Class Party;Green Party;Natural Law Party;;Total;Biden %;Trump %;Joseph R. Biden w/ Kamala D. Harris;Donald J. Trump w/ Michael R. Pence;Jo Jorgensen w/ Jeremy Cohen;Don Blankenship w/ William Mohr;Howie Hawkins w/ Angela Walker;Rocky De La Fuente w/ Darcy Richardson;Total write-in;;REP %;Trump % - REP %;;Ind %;;;
DATA;;Grand Rapids City Ward 2 Precinct 34;2280;1568;68.77%;;1007;68,5;29,9;690;301;7;2;5;2;0;;556;68,0;27,2;1068;452;26;1;1;4;11;;29,9;-2,7;;35,6;;;
DATA;;Grand Rapids City Ward 2 Precinct 35;2006;1590;79.26%;;830;53,6;45,3;445;376;4;2;0;3;0;;753;64,3;31,6;929;614;22;4;8;0;6;;45,3;-13,7;;47,6;;;
DATA;;Grand Rapids City Ward 2 Precinct 36;1170;781;66.75%;;512;65,6;32,6;336;167;1;2;2;2;2;;268;67,2;31,0;516;250;6;3;2;2;1;;32,6;-1,6;;34,4;;;
DATA;;Grand Rapids City Ward 2 Precinct 37;2590;2035;78.57%;;1079;61,0;37,5;658;405;7;0;2;5;2;;950;64,8;31,6;1274;705;28;4;6;2;10;;37,5;-6,0;;46,8;;;
DATA;;Grand Rapids City Ward 2 Precinct 38;3147;1982;62.98%;;1090;71,7;26,2;782;286;13;0;6;2;1;;886;75,7;20,8;1453;470;35;1;6;2;9;;26,2;-5,5;;44,8;;;
DATA;;Grand Rapids City Ward 2 Precinct 39;1103;701;63.55%;;365;82,2;15,1;300;55;7;0;0;2;1;;334;85,0;9,9;584;88;20;1;3;1;2;;15,1;-5,2;;47,8;;;
DATA;;Grand Rapids City Ward 2 Precinct 40;2011;1468;73%;;817;85,2;13,8;696;113;2;0;2;4;0;;648;80,2;14,8;1216;209;17;2;8;1;12;;13,8;1,0;;44,2;;;
DATA;;Grand Rapids City Ward 2 Precinct 41;2583;1916;74.18%;;1110;53,0;45,0;588;499;11;3;5;3;1;;794;61,3;36,5;1075;789;27;2;7;1;3;;45,0;-8,4;;41,7;;;
DATA;;Grand Rapids City Ward 2 Precinct 42;2015;1609;79.85%;;895;62,8;35,8;562;320;4;0;7;2;0;;705;70,1;25,7;1056;501;32;3;4;0;4;;35,8;-10,1;;44,1;;;
DATA;;Grand Rapids City Ward 2 Precinct 43;1919;1476;76.92%;;790;57,2;41,6;452;329;6;0;0;3;0;;682;65,8;29,3;901;529;28;3;5;1;5;;41,6;-12,3;;46,3;;;
DATA;;Grand Rapids City Ward 2 Precinct 44;2019;1555;77.02%;;889;50,8;48,1;452;428;7;0;1;1;0;;660;63,3;30,9;870;632;29;7;4;2;5;;48,1;-17,2;;42,6;;;
DATA;;Grand Rapids City Ward 2 Precinct 45;2230;1763;79.06%;;1037;52,2;46,7;541;484;5;1;4;1;1;;711;57,9;37,3;953;749;31;3;3;1;8;;46,7;-9,4;;40,7;;;
DATA;;Grand Rapids City Ward 2 Precinct 46;2456;1651;67.22%;;1035;61,8;36,9;640;382;5;5;3;0;0;;606;61,7;34,0;1014;588;23;1;3;3;9;;36,9;-2,9;;36,9;;;
DATA;;Grand Rapids City Ward 2 Precinct 47;1847;1519;82.24%;;803;61,4;37,0;493;297;6;0;4;1;2;;708;68,1;29,9;975;509;14;1;5;0;7;;37,0;-7,0;;46,9;;;
DATA;;Grand Rapids City Ward 2 Precinct 48;1698;1169;68.85%;;683;77,3;20,6;528;141;8;1;3;2;0;;480;78,5;17,7;905;226;20;1;7;0;4;;20,6;-2,9;;41,3;;;
DATA;;Grand Rapids City Ward 2 Precinct 49;2224;1441;64.79%;;839;80,6;16,8;676;141;14;0;2;3;3;;600;80,2;15,5;1157;234;31;1;7;5;4;;16,8;-1,3;;41,7;;;
DATA;;Grand Rapids City Ward 2 Precinct 50;2528;1718;67.96%;;908;84,3;13,8;765;125;14;0;2;2;0;;807;85,9;8,6;1458;194;44;1;14;0;4;;13,8;-5,2;;47,1;;;
DATA;;Grand Rapids City Ward 3 Precinct 51;1978;1224;61.88%;;894;70,2;27,3;628;244;10;2;8;1;1;;327;66,7;34,6;846;357;15;1;0;0;2;;27,3;7,3;;26,8;;;
DATA;;Grand Rapids City Ward 3 Precinct 52;992;620;62.5%;;368;87,0;11,4;320;42;3;1;2;0;0;;244;91,4;6,1;543;57;6;0;3;0;3;;11,4;-5,3;;39,9;;;
DATA;;Grand Rapids City Ward 3 Precinct 53;2847;2027;71.2%;;1169;52,1;46,8;609;547;7;0;2;4;0;;845;70,9;24,6;1208;755;31;2;6;1;11;;46,8;-22,2;;42,0;;;
DATA;;Grand Rapids City Ward 3 Precinct 54;1594;1208;75.78%;;707;57,7;40,9;408;289;4;1;3;2;0;;493;61,9;33,7;713;455;17;1;3;0;11;;40,9;-7,2;;41,1;;;
DATA;;Grand Rapids City Ward 3 Precinct 55;2274;1791;78.76%;;972;61,3;37,7;596;366;3;1;4;2;0;;810;67,7;28,8;1144;599;17;4;6;0;12;;37,7;-8,9;;45,5;;;
DATA;;Grand Rapids City Ward 3 Precinct 56;2102;1587;75.5%;;988;60,8;38,1;601;376;5;2;2;2;0;;590;66,6;29,2;994;548;27;2;3;0;4;;38,1;-8,9;;37,4;;;
DATA;;Grand Rapids City Ward 3 Precinct 57;1356;994;73.3%;;617;68,4;30,5;422;188;2;2;2;1;0;;369;68,6;27,9;675;291;8;4;3;0;5;;30,5;-2,6;;37,4;;;
DATA;;Grand Rapids City Ward 3 Precinct 58;2045;1514;74.03%;;926;61,8;37,4;572;346;5;0;3;0;0;;579;65,8;30,4;953;522;19;2;2;1;6;;37,4;-7,0;;38,5;;;
DATA;;Grand Rapids City Ward 3 Precinct 59;2518;1932;76.73%;;1089;71,4;27,4;778;298;5;4;2;0;2;;827;72,7;23,5;1379;492;32;1;2;1;9;;27,4;-3,9;;43,2;;;
DATA;;Grand Rapids City Ward 3 Precinct 60;2591;1665;64.26%;;1041;86,7;11,8;903;123;4;0;6;4;1;;620;83,2;13,7;1419;208;17;2;8;2;5;;11,8;1,9;;37,3;;;
DATA;;Grand Rapids City Ward 3 Precinct 61;943;686;72.75%;;387;74,2;23,8;287;92;3;1;2;2;0;;298;84,9;13,8;540;133;8;2;1;1;0;;23,8;-10,0;;43,5;;;
DATA;;Grand Rapids City Ward 3 Precinct 62;1951;1110;56.89%;;798;86,6;11,5;691;92;6;1;4;3;1;;307;80,1;16,3;937;142;18;0;5;1;2;;11,5;4,8;;27,8;;;
DATA;;Grand Rapids City Ward 3 Precinct 63;1992;1159;58.18%;;817;87,8;10,9;717;89;5;1;4;1;0;;338;76,6;19,2;976;154;17;2;3;1;2;;10,9;8,3;;29,3;;;
DATA;;Grand Rapids City Ward 3 Precinct 64;2207;1286;58.27%;;909;79,4;18,2;722;165;12;3;3;3;1;;370;71,4;25,1;986;258;21;0;7;1;6;;18,2;7,0;;28,9;;;
DATA;;Grand Rapids City Ward 3 Precinct 65;2143;1250;58.33%;;873;76,3;21,6;666;189;5;1;8;1;3;;376;67,3;29,3;919;299;13;2;6;0;10;;21,6;7,6;;30,1;;;
DATA;;Grand Rapids City Ward 3 Precinct 66;2538;1082;42.63%;;897;91,5;7,0;821;63;3;1;6;2;1;;179;87,7;11,2;978;83;6;0;8;0;1;;7,0;4,1;;16,6;;;
DATA;;Grand Rapids City Ward 3 Precinct 67;3004;1410;46.94%;;1128;90,6;7,4;1022;83;6;3;6;5;3;;278;83,8;12,6;1255;118;12;0;9;4;8;;7,4;5,2;;19,8;;;
